Word,Subset-type,Speaker-ID,Chapter-ID,Segment-ID,Gender,Time-tag,Norm-factor
you,dev-clean,6345,93306,14,F,"[1.0, 1.1]",0.04797190782003403
are,dev-clean,6345,93306,14,F,"[1.1, 1.2]",0.07033840542896759
kind,dev-clean,6345,93306,14,F,"[1.2, 1.9]",0.034265410112143284
it's,dev-clean,1462,170142,14,F,"[1.6, 1.7000000000000002]",0.0138833883360534
worse,dev-clean,1462,170142,14,F,"[1.7000000000000002, 2.0]",0.10621398777475388
now,dev-clean,1462,170142,14,F,"[2.0, 2.1]",0.0682107357273224
she,dev-clean,5338,284437,9,F,"[0.30000000000000004, 0.7000000000000001]",0.0496081146536172
but,dev-clean,5338,284437,9,F,"[6.2, 7.0]",0.01671393761259889
slender,dev-clean,5338,284437,9,F,"[7.0, 7.3]",0.11684731109016615
our,dev-clean,5338,284437,9,F,"[8.8, 8.9]",0.038073965699024784
type,dev-clean,5536,43358,12,M,"[0.5, 0.8]",0.08489679637445413
of,dev-clean,5536,43358,12,M,"[0.8, 0.9]",0.06799014669927969
prayer,dev-clean,5536,43358,12,M,"[0.9, 1.2]",0.13573561406485546
there,dev-clean,5536,43358,12,M,"[1.2, 1.5]",0.07432705931804501
was,dev-clean,5536,43358,12,M,"[1.5, 1.6]",0.025429750326971885
no,dev-clean,5536,43358,12,M,"[1.6, 1.8]",0.0571187986088761
beseeching,dev-clean,5536,43358,12,M,"[1.8, 2.3]",0.04989127945927122
of,dev-clean,5536,43358,12,M,"[2.3, 2.4]",0.03180281718674432
favor,dev-clean,5536,43358,12,M,"[2.4, 2.8]",0.0745663120128691
or,dev-clean,5536,43358,12,M,"[2.8, 3.0]",0.04919416567794264
help,dev-clean,5536,43358,12,M,"[3.0, 3.3]",0.07989358781212222
but,dev-clean,174,50561,2,M,"[0.30000000000000004, 0.7000000000000001]",0.015186872910225385
this,dev-clean,174,50561,2,M,"[0.7000000000000001, 0.8]",0.02581714233425034
is,dev-clean,174,50561,2,M,"[0.8, 1.0]",0.012601060451254377
a,dev-clean,174,50561,2,M,"[1.0, 1.1]",0.009811880447058193
fallacy,dev-clean,174,50561,2,M,"[1.1, 1.6]",0.024728357118958464
illustration,dev-clean,1919,142785,24,F,"[0.2, 1.3]",0.0918019465614833
Ginger,dev-clean,1919,142785,24,F,"[1.3, 2.3]",0.05571569821929545
the,dev-clean,1462,170142,0,F,"[0.2, 0.6000000000000001]",0.08549858990761755
last,dev-clean,1462,170142,0,F,"[0.6000000000000001, 1.1]",0.11481182910367185
of,dev-clean,1462,170142,0,F,"[1.4, 1.6]",0.09749992135980648
the,dev-clean,1462,170142,0,F,"[1.6, 1.8]",0.08257078044598473
voyage,dev-clean,1462,170142,0,F,"[1.8, 2.2]",0.0801645191923163
Bartley,dev-clean,1462,170142,0,F,"[2.2, 2.7]",0.06795206327818694
found,dev-clean,1462,170142,0,F,"[2.7, 3.1]",0.06395600274531152
almost,dev-clean,1462,170142,0,F,"[3.1, 3.3]",0.09942559087608324
I,dev-clean,5338,284437,25,F,"[0.1, 0.4]",0.01892710411173783
have,dev-clean,5338,284437,25,F,"[0.4, 0.6000000000000001]",0.10962038640907132
one,dev-clean,5338,284437,25,F,"[0.6000000000000001, 0.9]",0.14244143793417366
great,dev-clean,5338,284437,25,F,"[0.9, 1.3]",0.09409965241838064
privilege,dev-clean,5338,284437,25,F,"[1.3, 1.7000000000000002]",0.029862978439389974
it's,dev-clean,1462,170142,34,F,"[0.2, 0.7000000000000001]",0.03813647332468744
got,dev-clean,1462,170142,34,F,"[0.7000000000000001, 0.9]",0.10032134424261976
to,dev-clean,1462,170142,34,F,"[0.9, 1.0]",0.04632428676650452
be,dev-clean,1462,170142,34,F,"[1.0, 1.1]",0.06097729479918484
a,dev-clean,1462,170142,34,F,"[1.1, 1.3]",0.10290862942265427
clean,dev-clean,1462,170142,34,F,"[1.3, 1.6]",0.1029122493409334
break,dev-clean,1462,170142,34,F,"[1.6, 1.9]",0.08716953711341169
Hilda,dev-clean,1462,170142,34,F,"[1.9, 2.3]",0.0522521639925625
he,dev-clean,1673,143396,9,F,"[0.1, 0.5]",0.05949019583787341
the,dev-clean,1673,143396,9,F,"[1.7000000000000002, 1.8]",0.1747358306319406
Jordan,dev-clean,1673,143396,9,F,"[1.8, 1.9]",0.03714958279217555
of,dev-clean,1673,143396,9,F,"[2.7, 2.8]",0.08317417429324805
perfect,dev-clean,1673,143396,9,F,"[2.8, 3.3]",0.08487263901173256
it,dev-clean,1673,143396,9,F,"[4.6, 4.7]",0.17830256194250468
was,dev-clean,1673,143396,9,F,"[4.7, 4.8]",0.06627752487574423
a,dev-clean,1673,143396,9,F,"[4.8, 4.9]",0.05353142551748015
form,dev-clean,1673,143396,9,F,"[4.9, 5.3]",0.10502523198886783
only,dev-clean,1673,143396,9,F,"[5.3, 5.5]",0.1364436718883721
and,dev-clean,1673,143396,9,F,"[5.5, 5.9]",0.06298101342811976
not,dev-clean,1673,143396,9,F,"[5.9, 6.0]",0.10712486147688594
a,dev-clean,1673,143396,9,F,"[6.0, 6.2]",0.08199247637387057
human,dev-clean,1673,143396,9,F,"[7.1, 7.4]",0.12314964055326162
figure,dev-clean,1673,143396,9,F,"[7.4, 7.7]",0.10334917188728317
created,dev-clean,1673,143396,9,F,"[7.7, 8.3]",0.1885831253150843
by,dev-clean,1673,143396,9,F,"[8.3, 8.4]",0.1808759307663576
the,dev-clean,1673,143396,9,F,"[8.4, 8.5]",0.07602926689530475
hand,dev-clean,1673,143396,9,F,"[8.5, 8.8]",0.07791464095494965
of,dev-clean,1673,143396,9,F,"[8.8, 8.9]",0.13341569275554066
omnipotence,dev-clean,1673,143396,9,F,"[8.9, 9.5]",0.13790410045854673
actions,dev-clean,1673,143396,9,F,"[11.0, 11.5]",0.08657007682064381
of,dev-clean,1673,143396,9,F,"[11.5, 11.6]",0.06023510874648901
a,dev-clean,1673,143396,9,F,"[11.6, 11.7]",0.05173182272997983
